unix_time,px,py,vx,vy,psi,bax,bay,bwz
1744927578972800000,11.525087373857769,10.159881972918393,0.562394590936466,0.4802523011804666,0.05553103103696573,0.0,0.0,0.0
1744927578982759000,11.530661821880338,10.164530094524203,0.5597453556687337,0.4667304226179413,0.05504765514832791,0.0,0.0,0.0
1744927578992717000,11.536241878592767,10.1690624721165,0.560308539339619,0.4551082541544482,0.05473697028427833,0.0,0.0,0.0
1744927579002676000,11.319764119331243,9.885670906525682,0.5497605892029656,0.4276840603232099,0.055290229295850195,0.0,0.0,0.0
1744927579012635100,11.32526863862657,9.889931849079115,0.5527236236257698,0.42785273006382873,0.05569735389010611,0.0,0.0,0.0
1744927579022593000,11.330752587085865,9.8942325595999,0.5506580505171378,0.43184593888716627,0.054952405721521415,0.0,0.0,0.0
1744927579032552000,11.33625904971891,9.89845340669703,0.5529187594056708,0.4238266371918393,0.05449579573864122,0.0,0.0,0.0
1744927579042511000,11.341865004417862,9.9026397533883,0.5629090259920986,0.4203623584201634,0.055557234737379155,0.0,0.0,0.0
1744927579052470300,11.34753471213979,9.907048815173336,0.5693106389187662,0.44272578146556396,0.057220914907467425,0.0,0.0,0.0
1744927579062428000,11.353170178451075,9.91169527564027,0.5658723665549825,0.4665636231846898,0.05746046986248649,0.0,0.0,0.0
1744927579072387300,11.358761975493596,9.916372336099808,0.5614874175382233,0.46963625094532113,0.05679743878006347,0.0,0.0,0.0
1744927579082346200,11.364373880173515,9.92103842622698,0.5635064796231145,0.46853469029427086,0.05698077298618024,0.0,0.0,0.0
1744927579092304100,11.370025020357179,9.925720400235187,0.5674462223402208,0.47012963361481913,0.058794474333456075,0.0,0.0,0.0
1744927579102263300,11.375636747231516,9.930439953369381,0.5634886256851894,0.4739030549754458,0.06003841701102845,0.0,0.0,0.0
1744927579112222200,11.381127710512988,9.935202766073697,0.5513624277251538,0.47824686504684727,0.06015678069525718,0.0,0.0,0.0
1744927579122180000,11.386523016453257,9.939939040885148,0.5417572161854562,0.47558212367347075,0.06049722801944748,0.0,0.0,0.0
1744927579132139300,11.39182665395307,9.944587680662572,0.532552540924526,0.4667824536266961,0.061403512194164706,0.0,0.0,0.0
1744927579142098200,11.396954455259289,9.949108365489277,0.5148963546395329,0.45393415203535464,0.05927524784142362,0.0,0.0,0.0
1744927579152056300,11.401993169941747,9.95338857671932,0.5059509265538815,0.4297875498341911,0.05536074566443625,0.0,0.0,0.0
1744927579162015200,11.407237323079679,9.95757099362268,0.5265795557673987,0.41996775782055445,0.054876077738388145,0.0,0.0,0.0
1744927579171974100,11.412773151460254,9.961821068353629,0.5558674532905031,0.42676146270668375,0.05831021481613768,0.0,0.0,0.0
1744927579181933000,11.418346384357479,9.9661327768676,0.5596233416566735,0.4329502770356295,0.059102927767236815,0.0,0.0,0.0
1744927579191891200,11.423848285340046,9.9704207533851,0.5524607117822442,0.43056728328439103,0.05596214772077158,0.0,0.0,0.0
1744927579201850000,11.429524261085675,9.974688505131486,0.5699400280782579,0.42853645948700175,0.05539694693895907,0.0,0.0,0.0
1744927579211809300,11.43553011195207,9.979094645905295,0.603063678357739,0.4424324748526123,0.05967393048257934,0.0,0.0,0.0
1744927579221767200,11.441601543370327,9.983623249252878,0.6096487983869198,0.45472927206635905,0.06287375416819635,0.0,0.0,0.0
1744927579231726000,11.447502166312919,9.98831552174377,0.5924974588148676,0.47116373202782813,0.06189282170697708,0.0,0.0,0.0
1744927579241685200,11.453321059862109,9.993218192807076,0.5842907900661999,0.4922904199565546,0.061160075066895386,0.0,0.0,0.0
1744927579251643100,11.459195419328102,9.998137579375978,0.5898602723185596,0.49396886894164244,0.0639539263963986,0.0,0.0,0.0
1744927579261602000,11.464966235945584,10.002941057634482,0.5794632557292295,0.48233020298467105,0.06560716683298014,0.0,0.0,0.0
1744927579271561200,11.470467256836697,10.007644121686113,0.5523723394263088,0.4722473417376626,0.06311891977020986,0.0,0.0,0.0
1744927579281519000,11.475884509638028,10.012309775570152,0.5439609596773509,0.4684908859451908,0.06163261303081178,0.0,0.0,0.0
1744927579291478300,11.481372315099186,10.017039829382616,0.5510453424733829,0.47495745639221415,0.0629841450354893,0.0,0.0,0.0
1744927579301437200,11.486815528998243,10.021631461740624,0.5465677834957406,0.4610581849407833,0.06355200882599096,0.0,0.0,0.0
1744927579311396000,11.492142070594014,10.025894638673748,0.5348524029533073,0.42807709015290374,0.06176499178753462,0.0,0.0,0.0
1744927579321354200,11.497481632944758,10.030096858221762,0.536159852066558,0.4219561947618906,0.06040251659065974,0.0,0.0,0.0
1744927579331313200,11.502975481048002,10.03441588418246,0.5516521004572228,0.4336850415907563,0.062014474602962714,0.0,0.0,0.0
1744927579341272000,11.50853309563419,10.038731374924891,0.5580550649356781,0.43333006079296654,0.06350016881027712,0.0,0.0,0.0
1744927579351230200,11.514016327835545,10.043021083175692,0.5505861291261369,0.43074117129395273,0.06237880947528153,0.0,0.0,0.0
1744927579361189000,11.519482147781968,10.047385437817352,0.5488377176619432,0.4382366166605686,0.06080780791397885,0.0,0.0,0.0
1744927579371148000,11.525098278273735,10.051841989779598,0.5639308047843729,0.4474943982012732,0.061850347239086494,0.0,0.0,0.0
1744927579381106200,11.530823069341968,10.05643417666226,0.5748417062360328,0.4611138662564229,0.06335563815095248,0.0,0.0,0.0
1744927579391065000,11.536517534262895,10.061096890226928,0.5717965760200844,0.46819564054956075,0.06300804090295668,0.0,0.0,0.0
1744927579401024000,11.54222349691751,10.065716574266675,0.5729510944596106,0.46387492993683216,0.06281801779361901,0.0,0.0,0.0
1744927579410982100,11.548005086617026,10.070440335187445,0.5805450099424587,0.4743255701704642,0.06418788466466976,0.0,0.0,0.0
